experiment,n_train,rep,method,error
sample,20,26,Nearest centroid,0.328125
sample,20,27,L-2DLDA,0.0
sample,20,27,2DLDA,0.459375
sample,20,27,Nearest centroid,0.40937500000000004
sample,20,28,L-2DLDA,0.0
sample,20,28,2DLDA,0.503125
sample,20,28,Nearest centroid,0.359375
sample,20,29,L-2DLDA,0.0
sample,20,29,2DLDA,0.34062499999999996
sample,20,29,Nearest centroid,0.30625
sample,20,30,L-2DLDA,0.0
sample,20,30,2DLDA,0.44375
sample,20,30,Nearest centroid,0.375
sample,20,31,L-2DLDA,0.0
sample,20,31,2DLDA,0.428125
sample,20,31,Nearest centroid,0.39375000000000004
sample,20,32,L-2DLDA,0.0
sample,20,32,2DLDA,0.46875
sample,20,32,Nearest centroid,0.40937500000000004
sample,20,33,L-2DLDA,0.0
sample,20,33,2DLDA,0.48750000000000004
sample,20,33,Nearest centroid,0.384375
sample,20,34,L-2DLDA,0.0
sample,20,34,2DLDA,0.39375000000000004
sample,20,34,Nearest centroid,0.334375
sample,20,35,L-2DLDA,0.0
sample,20,35,2DLDA,0.46562499999999996
sample,20,35,Nearest centroid,0.353125
sample,20,36,L-2DLDA,0.0
sample,20,36,2DLDA,0.3125
sample,20,36,Nearest centroid,0.31562500000000004
sample,20,37,L-2DLDA,0.0031250000000000444
sample,20,37,2DLDA,0.44999999999999996
sample,20,37,Nearest centroid,0.36250000000000004
sample,20,38,L-2DLDA,0.0
sample,20,38,2DLDA,0.41874999999999996
sample,20,38,Nearest centroid,0.365625
sample,20,39,L-2DLDA,0.0
sample,20,39,2DLDA,0.459375
sample,20,39,Nearest centroid,0.34687500000000004
sample,20,40,L-2DLDA,0.0
sample,20,40,2DLDA,0.384375
sample,20,40,Nearest centroid,0.37812500000000004
sample,20,41,L-2DLDA,0.0031250000000000444
sample,20,41,2DLDA,0.37187499999999996
sample,20,41,Nearest centroid,0.37812500000000004
sample,20,42,L-2DLDA,0.0
sample,20,42,2DLDA,0.43125
sample,20,42,Nearest centroid,0.4
sample,20,43,L-2DLDA,0.0
sample,20,43,2DLDA,0.45625000000000004
sample,20,43,Nearest centroid,0.365625
sample,20,44,L-2DLDA,0.0
sample,20,44,2DLDA,0.428125
sample,20,44,Nearest centroid,0.40312499999999996
sample,20,45,L-2DLDA,0.0
sample,20,45,2DLDA,0.509375
sample,20,45,Nearest centroid,0.384375
sample,20,46,L-2DLDA,0.0
sample,20,46,2DLDA,0.43125
sample,20,46,Nearest centroid,0.36250000000000004
sample,20,47,L-2DLDA,0.0
sample,20,47,2DLDA,0.42500000000000004
sample,20,47,Nearest centroid,0.353125
sample,20,48,L-2DLDA,0.0
sample,20,48,2DLDA,0.48750000000000004
sample,20,48,Nearest centroid,0.36250000000000004
sample,20,49,L-2DLDA,0.0
sample,20,49,2DLDA,0.453125
sample,20,49,Nearest centroid,0.334375
sample,30,0,L-2DLDA,0.0
sample,30,0,2DLDA,0.37812500000000004
sample,30,0,Nearest centroid,0.34687500000000004
sample,30,1,L-2DLDA,0.0
sample,30,1,2DLDA,0.4125
sample,30,1,Nearest centroid,0.396875
sample,30,2,L-2DLDA,0.0
sample,30,2,2DLDA,0.390625
sample,30,2,Nearest centroid,0.359375
sample,30,3,L-2DLDA,0.0
sample,30,3,2DLDA,0.26249999999999996
sample,30,3,Nearest centroid,0.3375
sample,30,4,L-2DLDA,0.0
sample,30,4,2DLDA,0.365625
sample,30,4,Nearest centroid,0.3125
sample,30,5,L-2DLDA,0.0
sample,30,5,2DLDA,0.38125
sample,30,5,Nearest centroid,0.30000000000000004
sample,30,6,L-2DLDA,0.0
sample,30,6,2DLDA,0.36250000000000004
sample,30,6,Nearest centroid,0.34062499999999996
sample,30,7,L-2DLDA,0.0
sample,30,7,2DLDA,0.353125
sample,30,7,Nearest centroid,0.359375
sample,30,8,L-2DLDA,0.0
sample,30,8,2DLDA,0.39375000000000004
sample,30,8,Nearest centroid,0.34062499999999996
sample,30,9,L-2DLDA,0.0
sample,30,9,2DLDA,0.396875
sample,30,9,Nearest centroid,0.34062499999999996
sample,30,10,L-2DLDA,0.0
sample,30,10,2DLDA,0.384375
sample,30,10,Nearest centroid,0.3125
sample,30,11,L-2DLDA,0.0
sample,30,11,2DLDA,0.509375
sample,30,11,Nearest centroid,0.39375000000000004
sample,30,12,L-2DLDA,0.0
sample,30,12,2DLDA,0.421875
sample,30,12,Nearest centroid,0.334375
sample,30,13,L-2DLDA,0.0
sample,30,13,2DLDA,0.40625
sample,30,13,Nearest centroid,0.34062499999999996
sample,30,14,L-2DLDA,0.0
sample,30,14,2DLDA,0.40312499999999996
sample,30,14,Nearest centroid,0.34375
sample,30,15,L-2DLDA,0.0
sample,30,15,2DLDA,0.30625
sample,30,15,Nearest centroid,0.303125
sample,30,16,L-2DLDA,0.0
sample,30,16,2DLDA,0.45625000000000004
sample,30,16,Nearest centroid,0.359375
sample,30,17,L-2DLDA,0.0
sample,30,17,2DLDA,0.4375
sample,30,17,Nearest centroid,0.275
sample,30,18,L-2DLDA,0.0
sample,30,18,2DLDA,0.30000000000000004
sample,30,18,Nearest centroid,0.30625
sample,30,19,L-2DLDA,0.0
sample,30,19,2DLDA,0.384375
sample,30,19,Nearest centroid,0.30000000000000004
sample,30,20,L-2DLDA,0.0
sample,30,20,2DLDA,0.46562499999999996
sample,30,20,Nearest centroid,0.334375
sample,30,21,L-2DLDA,0.0
sample,30,21,2DLDA,0.35624999999999996
sample,30,21,Nearest centroid,0.296875
sample,30,22,L-2DLDA,0.0
sample,30,22,2DLDA,0.453125
sample,30,22,Nearest centroid,0.37187499999999996
sample,30,23,L-2DLDA,0.0
sample,30,23,2DLDA,0.4125
sample,30,23,Nearest centroid,0.34687500000000004
sample,30,24,L-2DLDA,0.0
sample,30,24,2DLDA,0.53125
sample,30,24,Nearest centroid,0.36875
sample,30,25,L-2DLDA,0.0
sample,30,25,2DLDA,0.328125
sample,30,25,Nearest centroid,0.29374999999999996
sample,30,26,L-2DLDA,0.0
sample,30,26,2DLDA,0.328125
sample,30,26,Nearest centroid,0.3375
sample,30,27,L-2DLDA,0.0
sample,30,27,2DLDA,0.37812500000000004
sample,30,27,Nearest centroid,0.328125
sample,30,28,L-2DLDA,0.0
sample,30,28,2DLDA,0.43125
sample,30,28,Nearest centroid,0.359375
sample,30,29,L-2DLDA,0.0
sample,30,29,2DLDA,0.40625
sample,30,29,Nearest centroid,0.38125
sample,30,30,L-2DLDA,0.0
sample,30,30,2DLDA,0.421875
sample,30,30,Nearest centroid,0.375
sample,30,31,L-2DLDA,0.0
sample,30,31,2DLDA,0.49375
sample,30,31,Nearest centroid,0.365625
sample,30,32,L-2DLDA,0.0
sample,30,32,2DLDA,0.384375
sample,30,32,Nearest centroid,0.3125
sample,30,33,L-2DLDA,0.0
sample,30,33,2DLDA,0.4375
sample,30,33,Nearest centroid,0.359375
sample,30,34,L-2DLDA,0.0
sample,30,34,2DLDA,0.34062499999999996
sample,30,34,Nearest centroid,0.34375
sample,30,35,L-2DLDA,0.0
sample,30,35,2DLDA,0.46875
sample,30,35,Nearest centroid,0.375
sample,30,36,L-2DLDA,0.0
sample,30,36,2DLDA,0.26249999999999996
sample,30,36,Nearest centroid,0.3125
sample,30,37,L-2DLDA,0.0
sample,30,37,2DLDA,0.36875
sample,30,37,Nearest centroid,0.321875
sample,30,38,L-2DLDA,0.0
sample,30,38,2DLDA,0.39375000000000004
sample,30,38,Nearest centroid,0.35
sample,30,39,L-2DLDA,0.0
sample,30,39,2DLDA,0.43125
sample,30,39,Nearest centroid,0.37812500000000004
sample,30,40,L-2DLDA,0.0
sample,30,40,2DLDA,0.421875
sample,30,40,Nearest centroid,0.30000000000000004
sample,30,41,L-2DLDA,0.0
sample,30,41,2DLDA,0.42500000000000004
sample,30,41,Nearest centroid,0.359375
sample,30,42,L-2DLDA,0.0
sample,30,42,2DLDA,0.4375
sample,30,42,Nearest centroid,0.34062499999999996
sample,30,43,L-2DLDA,0.0
sample,30,43,2DLDA,0.41874999999999996
sample,30,43,Nearest centroid,0.33125000000000004
sample,30,44,L-2DLDA,0.0
sample,30,44,2DLDA,0.39375000000000004
sample,30,44,Nearest centroid,0.34687500000000004
sample,30,45,L-2DLDA,0.0
sample,30,45,2DLDA,0.38125
sample,30,45,Nearest centroid,0.35
sample,30,46,L-2DLDA,0.0
sample,30,46,2DLDA,0.415625
sample,30,46,Nearest centroid,0.34062499999999996
sample,30,47,L-2DLDA,0.0
sample,30,47,2DLDA,0.365625
sample,30,47,Nearest centroid,0.31875
sample,30,48,L-2DLDA,0.0
sample,30,48,2DLDA,0.25625
sample,30,48,Nearest centroid,0.2875
sample,30,49,L-2DLDA,0.0
sample,30,49,2DLDA,0.38125
sample,30,49,Nearest centroid,0.35624999999999996
